dato,sesong,mesterskap,konkurranse,sted,navn,kjønn,klasse,plassering,treff,bom,sammenlagt plassering,total poeng,total treff,tromscup poeng/treff
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Marie Henriette Andersen,Jenter,13-14,,,,8.,247,16,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Alexandra Angelin Valen,Jenter,13-14,,,,9.,240,21,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Vilde Nilsen,Jenter,13-14,,,,10.,94,7,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Lene Engen,Jenter,13-14,,,,11.,52,6,
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Thea Mack Rørvik,Jenter,13-14,1.0,6.0,4.0,1.,700,50,100/6
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Marie Nyvoll,Jenter,13-14,2.0,5.0,5.0,2.,620,30,80/5
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Anna Lovise Høgbakk,Jenter,13-14,,,,3.,490,31,
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Sofia Heim,Jenter,13-14,3.0,7.0,3.0,4.,450,52,60/7
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Ingrid Bjørnstadbråten,Jenter,13-14,4.0,4.0,6.0,5.,440,43,50/4
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Anna Elise Rikardsen Jaatun,Jenter,13-14,,,,6.,390,31,
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Alexandra Beatrice Valen,Jenter,13-14,,,,7.,281,22,
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Marie Henriette Andersen,Jenter,13-14,5.0,4.0,6.0,8.,247,16,45/4
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Alexandra Angelin Valen,Jenter,13-14,,,,9.,240,21,
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Vilde Nilsen,Jenter,13-14,,,,10.,94,7,
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Lene Engen,Jenter,13-14,,,,11.,52,6,
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Thea Mack Rørvik,Jenter,13-14,1.0,9.0,1.0,1.,700,50,100/9
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Marie Nyvoll,Jenter,13-14,3.0,5.0,5.0,2.,620,30,60/5
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Anna Lovise Høgbakk,Jenter,13-14,2.0,6.0,4.0,3.,490,31,80/6
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Sofia Heim,Jenter,13-14,4.0,7.0,3.0,4.,450,52,50/7
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Ingrid Bjørnstadbråten,Jenter,13-14,5.0,3.0,7.0,5.,440,43,45/3
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Anna Elise Rikardsen Jaatun,Jenter,13-14,,,,6.,390,31,
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Alexandra Beatrice Valen,Jenter,13-14,7.0,1.0,9.0,7.,281,22,36/1
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Marie Henriette Andersen,Jenter,13-14,6.0,0.0,10.0,8.,247,16,40/0
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Alexandra Angelin Valen,Jenter,13-14,8.0,2.0,8.0,9.,240,21,32/2
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Vilde Nilsen,Jenter,13-14,,,,10.,94,7,
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Lene Engen,Jenter,13-14,,,,11.,52,6,
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Thea Mack Rørvik,Jenter,13-14,1.0,6.0,4.0,1.,700,50,100/6
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Marie Nyvoll,Jenter,13-14,2.0,6.0,4.0,2.,620,30,80/6
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Anna Lovise Høgbakk,Jenter,13-14,3.0,4.0,6.0,3.,490,31,60/4
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Sofia Heim,Jenter,13-14,4.0,3.0,7.0,4.,450,52,50/3
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Ingrid Bjørnstadbråten,Jenter,13-14,5.0,2.0,8.0,5.,440,43,45/2
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Anna Elise Rikardsen Jaatun,Jenter,13-14,6.0,1.0,9.0,6.,390,31,40/1
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Alexandra Beatrice Valen,Jenter,13-14,,,,7.,281,22,
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Marie Henriette Andersen,Jenter,13-14,,,,8.,247,16,
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Alexandra Angelin Valen,Jenter,13-14,,,,9.,240,21,
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Vilde Nilsen,Jenter,13-14,7.0,3.0,7.0,10.,94,7,36/3
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Lene Engen,Jenter,13-14,,,,11.,52,6,
02.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Thea Mack Rørvik,Jenter,13-14,,,,1.,700,50,
02.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Marie Nyvoll,Jenter,13-14,1.0,3.0,7.0,2.,620,30,100/3
02.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Anna Lovise Høgbakk,Jenter,13-14,3.0,4.0,6.0,3.,490,31,60/4
02.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Sofia Heim,Jenter,13-14,5.0,4.0,6.0,4.,450,52,45/4
02.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Ingrid Bjørnstadbråten,Jenter,13-14,4.0,5.0,5.0,5.,440,43,50/5
02.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Anna Elise Rikardsen Jaatun,Jenter,13-14,2.0,3.0,7.0,6.,390,31,80/3
02.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Alexandra Beatrice Valen,Jenter,13-14,,,,7.,281,22,
02.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Marie Henriette Andersen,Jenter,13-14,,,,8.,247,16,
02.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Alexandra Angelin Valen,Jenter,13-14,,,,9.,240,21,
02.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Vilde Nilsen,Jenter,13-14,,,,10.,94,7,
02.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Lene Engen,Jenter,13-14,,,,11.,52,6,
08.02.2014,2013/2014,tromscup,Sprint,Tromsø,Thea Mack Rørvik,Jenter,13-14,,,,1.,700,50,
08.02.2014,2013/2014,tromscup,Sprint,Tromsø,Marie Nyvoll,Jenter,13-14,2.0,2.0,8.0,2.,620,30,80/2
08.02.2014,2013/2014,tromscup,Sprint,Tromsø,Anna Lovise Høgbakk,Jenter,13-14,1.0,7.0,3.0,3.,490,31,100/7
08.02.2014,2013/2014,tromscup,Sprint,Tromsø,Sofia Heim,Jenter,13-14,4.0,5.0,5.0,4.,450,52,50/5
08.02.2014,2013/2014,tromscup,Sprint,Tromsø,Ingrid Bjørnstadbråten,Jenter,13-14,3.0,6.0,4.0,5.,440,43,60/6
08.02.2014,2013/2014,tromscup,Sprint,Tromsø,Anna Elise Rikardsen Jaatun,Jenter,13-14,5.0,5.0,5.0,6.,390,31,45/5
08.02.2014,2013/2014,tromscup,Sprint,Tromsø,Alexandra Beatrice Valen,Jenter,13-14,6.0,3.0,7.0,7.,281,22,40/3
08.02.2014,2013/2014,tromscup,Sprint,Tromsø,Marie Henriette Andersen,Jenter,13-14,8.0,2.0,8.0,8.,247,16,32/2
08.02.2014,2013/2014,tromscup,Sprint,Tromsø,Alexandra Angelin Valen,Jenter,13-14,7.0,3.0,7.0,9.,240,21,36/3
08.02.2014,2013/2014,tromscup,Sprint,Tromsø,Vilde Nilsen,Jenter,13-14,9.0,1.0,9.0,10.,94,7,29/1
08.02.2014,2013/2014,tromscup,Sprint,Tromsø,Lene Engen,Jenter,13-14,10.0,3.0,7.0,11.,52,6,26/3
09.02.2014,2013/2014,tromscup,Fellesstart,Tromsø,Thea Mack Rørvik,Jenter,13-14,,,,1.,700,50,
09.02.2014,2013/2014,tromscup,Fellesstart,Tromsø,Marie Nyvoll,Jenter,13-14,1.0,4.0,6.0,2.,620,30,100/4
09.02.2014,2013/2014,tromscup,Fellesstart,Tromsø,Anna Lovise Høgbakk,Jenter,13-14,4.0,1.0,9.0,3.,490,31,50/1
09.02.2014,2013/2014,tromscup,Fellesstart,Tromsø,Sofia Heim,Jenter,13-14,2.0,7.0,3.0,4.,450,52,80/7
09.02.2014,2013/2014,tromscup,Fellesstart,Tromsø,Ingrid Bjørnstadbråten,Jenter,13-14,3.0,6.0,4.0,5.,440,43,60/6
09.02.2014,2013/2014,tromscup,Fellesstart,Tromsø,Anna Elise Rikardsen Jaatun,Jenter,13-14,7.0,4.0,6.0,6.,390,31,36/4
09.02.2014,2013/2014,tromscup,Fellesstart,Tromsø,Alexandra Beatrice Valen,Jenter,13-14,5.0,2.0,8.0,7.,281,22,45/2
09.02.2014,2013/2014,tromscup,Fellesstart,Tromsø,Marie Henriette Andersen,Jenter,13-14,6.0,3.0,7.0,8.,247,16,40/3
09.02.2014,2013/2014,tromscup,Fellesstart,Tromsø,Alexandra Angelin Valen,Jenter,13-14,8.0,3.0,7.0,9.,240,21,32/3
09.02.2014,2013/2014,tromscup,Fellesstart,Tromsø,Vilde Nilsen,Jenter,13-14,9.0,3.0,7.0,10.,94,7,29/3
09.02.2014,2013/2014,tromscup,Fellesstart,Tromsø,Lene Engen,Jenter,13-14,10.0,3.0,7.0,11.,52,6,26/3
15.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Thea Mack Rørvik,Jenter,13-14,,,,1.,700,50,
15.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Marie Nyvoll,Jenter,13-14,,,,2.,620,30,
15.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Anna Lovise Høgbakk,Jenter,13-14,,,,3.,490,31,
15.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Sofia Heim,Jenter,13-14,2.0,8.0,2.0,4.,450,52,80/8
15.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Ingrid Bjørnstadbråten,Jenter,13-14,3.0,5.0,5.0,5.,440,43,60/5
15.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Anna Elise Rikardsen Jaatun,Jenter,13-14,1.0,5.0,5.0,6.,390,31,100/5
15.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Alexandra Beatrice Valen,Jenter,13-14,,,,7.,281,22,
15.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Marie Henriette Andersen,Jenter,13-14,,,,8.,247,16,
15.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Alexandra Angelin Valen,Jenter,13-14,,,,9.,240,21,
15.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Vilde Nilsen,Jenter,13-14,,,,10.,94,7,
15.02.2014,2013/2014,tromscup,Fellesstart,Bardu,Lene Engen,Jenter,13-14,,,,11.,52,6,
08.03.2014,2013/2014,tromscup,Fellesstart,Målselv,Thea Mack Rørvik,Jenter,13-14,1.0,6.0,4.0,1.,700,50,100/6
08.03.2014,2013/2014,tromscup,Fellesstart,Målselv,Marie Nyvoll,Jenter,13-14,2.0,2.0,8.0,2.,620,30,80/2
08.03.2014,2013/2014,tromscup,Fellesstart,Målselv,Anna Lovise Høgbakk,Jenter,13-14,,,,3.,490,31,
08.03.2014,2013/2014,tromscup,Fellesstart,Målselv,Sofia Heim,Jenter,13-14,4.0,6.0,4.0,4.,450,52,50/6
08.03.2014,2013/2014,tromscup,Fellesstart,Målselv,Ingrid Bjørnstadbråten,Jenter,13-14,3.0,6.0,4.0,5.,440,43,60/6
08.03.2014,2013/2014,tromscup,Fellesstart,Målselv,Anna Elise Rikardsen Jaatun,Jenter,13-14,6.0,2.0,8.0,6.,390,31,40/2
08.03.2014,2013/2014,tromscup,Fellesstart,Målselv,Alexandra Beatrice Valen,Jenter,13-14,,,,7.,281,22,
08.03.2014,2013/2014,tromscup,Fellesstart,Målselv,Marie Henriette Andersen,Jenter,13-14,5.0,3.0,7.0,8.,247,16,45/3
08.03.2014,2013/2014,tromscup,Fellesstart,Målselv,Alexandra Angelin Valen,Jenter,13-14,,,,9.,240,21,
08.03.2014,2013/2014,tromscup,Fellesstart,Målselv,Vilde Nilsen,Jenter,13-14,,,,10.,94,7,
08.03.2014,2013/2014,tromscup,Fellesstart,Målselv,Lene Engen,Jenter,13-14,,,,11.,52,6,
15.03.2014,2013/2014,tromscup,Sprint,Skjervøy,Thea Mack Rørvik,Jenter,13-14,1.0,9.0,1.0,1.,700,50,100/9
15.03.2014,2013/2014,tromscup,Sprint,Skjervøy,Marie Nyvoll,Jenter,13-14,4.0,3.0,7.0,2.,620,30,50/3
15.03.2014,2013/2014,tromscup,Sprint,Skjervøy,Anna Lovise Høgbakk,Jenter,13-14,,,,3.,490,31,
15.03.2014,2013/2014,tromscup,Sprint,Skjervøy,Sofia Heim,Jenter,13-14,2.0,9.0,1.0,4.,450,52,80/9
15.03.2014,2013/2014,tromscup,Sprint,Skjervøy,Ingrid Bjørnstadbråten,Jenter,13-14,7.0,4.0,6.0,5.,440,43,36/4
15.03.2014,2013/2014,tromscup,Sprint,Skjervøy,Anna Elise Rikardsen Jaatun,Jenter,13-14,5.0,6.0,4.0,6.,390,31,45/6
15.03.2014,2013/2014,tromscup,Sprint,Skjervøy,Alexandra Beatrice Valen,Jenter,13-14,3.0,7.0,3.0,7.,281,22,60/7
15.03.2014,2013/2014,tromscup,Sprint,Skjervøy,Marie Henriette Andersen,Jenter,13-14,,,,8.,247,16,
15.03.2014,2013/2014,tromscup,Sprint,Skjervøy,Alexandra Angelin Valen,Jenter,13-14,6.0,3.0,7.0,9.,240,21,40/3
15.03.2014,2013/2014,tromscup,Sprint,Skjervøy,Vilde Nilsen,Jenter,13-14,,,,10.,94,7,
15.03.2014,2013/2014,tromscup,Sprint,Skjervøy,Lene Engen,Jenter,13-14,,,,11.,52,6,
16.03.2014,2013/2014,KM,Normal,Nordreisa,Thea Mack Rørvik,Jenter,13-14,1.0,7.0,3.0,1.,700,50,100/7
16.03.2014,2013/2014,KM,Normal,Nordreisa,Marie Nyvoll,Jenter,13-14,,,,2.,620,30,
16.03.2014,2013/2014,KM,Normal,Nordreisa,Anna Lovise Høgbakk,Jenter,13-14,2.0,6.0,4.0,3.,490,31,80/6
16.03.2014,2013/2014,KM,Normal,Nordreisa,Sofia Heim,Jenter,13-14,5.0,6.0,4.0,4.,450,52,45/6
16.03.2014,2013/2014,KM,Normal,Nordreisa,Ingrid Bjørnstadbråten,Jenter,13-14,4.0,7.0,3.0,5.,440,43,50/7
16.03.2014,2013/2014,KM,Normal,Nordreisa,Anna Elise Rikardsen Jaatun,Jenter,13-14,7.0,4.0,6.0,6.,390,31,36/4
16.03.2014,2013/2014,KM,Normal,Nordreisa,Alexandra Beatrice Valen,Jenter,13-14,6.0,4.0,6.0,7.,281,22,40/4
16.03.2014,2013/2014,KM,Normal,Nordreisa,Marie Henriette Andersen,Jenter,13-14,,,,8.,247,16,
16.03.2014,2013/2014,KM,Normal,Nordreisa,Alexandra Angelin Valen,Jenter,13-14,3.0,7.0,3.0,9.,240,21,60/7
16.03.2014,2013/2014,KM,Normal,Nordreisa,Vilde Nilsen,Jenter,13-14,,,,10.,94,7,
16.03.2014,2013/2014,KM,Normal,Nordreisa,Lene Engen,Jenter,13-14,,,,11.,52,6,
25.04.2014,2013/2014,tromscup,Sprint,Laksvatn,Thea Mack Rørvik,Jenter,13-14,1.0,7.0,3.0,1.,700,50,100/7
25.04.2014,2013/2014,tromscup,Sprint,Laksvatn,Marie Nyvoll,Jenter,13-14,2.0,4.0,6.0,2.,620,30,80/4
25.04.2014,2013/2014,tromscup,Sprint,Laksvatn,Anna Lovise Høgbakk,Jenter,13-14,,,,3.,490,31,
25.04.2014,2013/2014,tromscup,Sprint,Laksvatn,Sofia Heim,Jenter,13-14,4.0,6.0,4.0,4.,450,52,50/6
25.04.2014,2013/2014,tromscup,Sprint,Laksvatn,Ingrid Bjørnstadbråten,Jenter,13-14,,,,5.,440,43,
25.04.2014,2013/2014,tromscup,Sprint,Laksvatn,Anna Elise Rikardsen Jaatun,Jenter,13-14,7.0,4.0,6.0,6.,390,31,36/4
25.04.2014,2013/2014,tromscup,Sprint,Laksvatn,Alexandra Beatrice Valen,Jenter,13-14,3.0,5.0,5.0,7.,281,22,60/5
25.04.2014,2013/2014,tromscup,Sprint,Laksvatn,Marie Henriette Andersen,Jenter,13-14,5.0,4.0,6.0,8.,247,16,45/4
25.04.2014,2013/2014,tromscup,Sprint,Laksvatn,Alexandra Angelin Valen,Jenter,13-14,6.0,3.0,7.0,9.,240,21,40/3
25.04.2014,2013/2014,tromscup,Sprint,Laksvatn,Vilde Nilsen,Jenter,13-14,,,,10.,94,7,
25.04.2014,2013/2014,tromscup,Sprint,Laksvatn,Lene Engen,Jenter,13-14,,,,11.,52,6,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Marie Henriksen Langseth,Jenter,15-16,1.0,8.0,2.0,1.,700,62,100/8
01.12.2013,2013/2014,tromscup,Normal,Målselv,Tora Johanne Solvang,Jenter,15-16,2.0,9.0,1.0,2.,520,62,80/9
01.12.2013,2013/2014,tromscup,Normal,Målselv,Amalie Triumf Vang,Jenter,15-16,,,,3.,490,41,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Aylin Åsli,Jenter,15-16,,,,4.,440,26,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Elise Reingjerdskog,Jenter,15-16,4.0,3.0,7.0,5.,410,39,50/3
01.12.2013,2013/2014,tromscup,Normal,Målselv,Idunn Raade Olsen,Jenter,15-16,3.0,6.0,4.0,6.,334,44,60/6
01.12.2013,2013/2014,tromscup,Normal,Målselv,Karianne Jacobsen,Jenter,15-16,,,,7.,325,56,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Anne-Rebekka Eriksen,Jenter,15-16,,,,8.,257,41,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Kjersti Elisabeth Pettersen,Jenter,15-16,5.0,3.0,7.0,9.,240,27,45/3
01.12.2013,2013/2014,tromscup,Normal,Målselv,Pia Nystu,Jenter,15-16,,,,10.,166,15,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Emilie Landbakk,Jenter,15-16,,,,11.,112,14,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Emma Krogh Pedersen,Jenter,15-16,,,,12.,80,13,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Marie Henriksen Langseth,Jenter,15-16,1.0,4.0,6.0,1.,700,62,100/4
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Tora Johanne Solvang,Jenter,15-16,,,,2.,520,62,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Amalie Triumf Vang,Jenter,15-16,2.0,2.0,8.0,3.,490,41,80/2
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Aylin Åsli,Jenter,15-16,,,,4.,440,26,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Elise Reingjerdskog,Jenter,15-16,,,,5.,410,39,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Idunn Raade Olsen,Jenter,15-16,,,,6.,334,44,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Karianne Jacobsen,Jenter,15-16,3.0,6.0,4.0,7.,325,56,60/6
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Anne-Rebekka Eriksen,Jenter,15-16,,,,8.,257,41,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Kjersti Elisabeth Pettersen,Jenter,15-16,,,,9.,240,27,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Pia Nystu,Jenter,15-16,,,,10.,166,15,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Emilie Landbakk,Jenter,15-16,,,,11.,112,14,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Emma Krogh Pedersen,Jenter,15-16,,,,12.,80,13,
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Marie Henriksen Langseth,Jenter,15-16,1.0,8.0,2.0,1.,700,62,100/8
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Tora Johanne Solvang,Jenter,15-16,4.0,9.0,1.0,2.,520,62,50/9
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Amalie Triumf Vang,Jenter,15-16,5.0,5.0,5.0,3.,490,41,45/5
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Aylin Åsli,Jenter,15-16,2.0,5.0,5.0,4.,440,26,80/5
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Elise Reingjerdskog,Jenter,15-16,3.0,8.0,2.0,5.,410,39,60/8
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Idunn Raade Olsen,Jenter,15-16,,,,6.,334,44,
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Karianne Jacobsen,Jenter,15-16,7.0,7.0,3.0,7.,325,56,36/7
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Anne-Rebekka Eriksen,Jenter,15-16,6.0,8.0,2.0,8.,257,41,40/8
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Kjersti Elisabeth Pettersen,Jenter,15-16,,,,9.,240,27,
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Pia Nystu,Jenter,15-16,,,,10.,166,15,
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Emilie Landbakk,Jenter,15-16,,,,11.,112,14,
29.12.2013,2013/2014,tromscup,Sprint,Laksvatn,Emma Krogh Pedersen,Jenter,15-16,,,,12.,80,13,
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Marie Henriksen Langseth,Jenter,15-16,1.0,9.0,1.0,1.,700,62,100/9
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Tora Johanne Solvang,Jenter,15-16,4.0,9.0,1.0,2.,520,62,50/9
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Amalie Triumf Vang,Jenter,15-16,3.0,5.0,5.0,3.,490,41,60/5
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Aylin Åsli,Jenter,15-16,2.0,6.0,4.0,4.,440,26,80/6
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Elise Reingjerdskog,Jenter,15-16,,,,5.,410,39,
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Idunn Raade Olsen,Jenter,15-16,9.0,7.0,3.0,6.,334,44,29/7
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Karianne Jacobsen,Jenter,15-16,6.0,7.0,3.0,7.,325,56,40/7
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Anne-Rebekka Eriksen,Jenter,15-16,5.0,7.0,3.0,8.,257,41,45/7
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Kjersti Elisabeth Pettersen,Jenter,15-16,,,,9.,240,27,
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Pia Nystu,Jenter,15-16,7.0,1.0,9.0,10.,166,15,36/1
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Emilie Landbakk,Jenter,15-16,7.0,5.0,5.0,11.,112,14,36/5
05.01.2014,2013/2014,tromscup,Sprint,Storsteinnes,Emma Krogh Pedersen,Jenter,15-16,,,,12.,80,13,
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Marie Henriksen Langseth,Jenter,15-16,1.0,10.0,0.0,1.,700,62,100/10
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Tora Johanne Solvang,Jenter,15-16,4.0,5.0,5.0,2.,520,62,50/5
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Amalie Triumf Vang,Jenter,15-16,2.0,3.0,7.0,3.,490,41,80/3
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Aylin Åsli,Jenter,15-16,,,,4.,440,26,
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Elise Reingjerdskog,Jenter,15-16,3.0,7.0,3.0,5.,410,39,60/7
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Idunn Raade Olsen,Jenter,15-16,,,,6.,334,44,
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Karianne Jacobsen,Jenter,15-16,5.0,8.0,2.0,7.,325,56,45/8
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Anne-Rebekka Eriksen,Jenter,15-16,,,,8.,257,41,
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Kjersti Elisabeth Pettersen,Jenter,15-16,,,,9.,240,27,
01.02.2014,2013/2014,tromscup,Sprint,Bardu IL,Pia Nystu,Jenter,15-16,,,,10.,166,15,
