Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;DNB Cup 3/Junior Cup 1 normal-Points;DNB Cup 3/Junior Cup 1 normal-Time;DNB Cup 3/Junior Cup 1 normal-TimeFormatted;DNB Cup 3/Junior Cup 1 normal-DiffTimeFormatted;DNB Cup 3/Junior Cup 1 sprint-Points;DNB Cup 3/Junior Cup 1 sprint-Time;DNB Cup 3/Junior Cup 1 sprint-TimeFormatted;DNB Cup 3/Junior Cup 1 sprint-DiffTimeFormatted;NM JR DNB Cup 4/JR Cup 2-Points;NM JR DNB Cup 4/JR Cup 2-Time;NM JR DNB Cup 4/JR Cup 2-TimeFormatted;NM JR DNB Cup 4/JR Cup 2-DiffTimeFormatted;NSSF JR Cup 2 K18-19 liste-Points;NSSF JR Cup 2 K18-19 liste-Time;NSSF JR Cup 2 K18-19 liste-TimeFormatted;NSSF JR Cup 2 K18-19 liste-DiffTimeFormatted;NM JR DNB Cup 4/JR Cup 2-Points;NM JR DNB Cup 4/JR Cup 2-Time;NM JR DNB Cup 4/JR Cup 2-TimeFormatted;NM JR DNB Cup 4/JR Cup 2-DiffTimeFormatted;NM JR /JR Cup 2 K18-19-Points;NM JR /JR Cup 2 K18-19-Time;NM JR /JR Cup 2 K18-19-TimeFormatted;NM JR /JR Cup 2 K18-19-DiffTimeFormatted;DNB Cup 5 / Junior Cup 3 Sprint-Points;DNB Cup 5 / Junior Cup 3 Sprint-Time;DNB Cup 5 / Junior Cup 3 Sprint-TimeFormatted;DNB Cup 5 / Junior Cup 3 Sprint-DiffTimeFormatted;DNB Cup 5 / Junior Cup 3  Normal-Points;DNB Cup 5 / Junior Cup 3  Normal-Time;DNB Cup 5 / Junior Cup 3  Normal-TimeFormatted;DNB Cup 5 / Junior Cup 3  Normal-DiffTimeFormatted;NM Normal -Senior, NM Normal - Junior-Points;NM Normal -Senior, NM Normal - Junior-Time;NM Normal -Senior, NM Normal - Junior-TimeFormatted;NM Normal -Senior, NM Normal - Junior-DiffTimeFormatted;DNB Cup 6/Junior Cup 4, 10.03.2018-Points;DNB Cup 6/Junior Cup 4, 10.03.2018-Time;DNB Cup 6/Junior Cup 4, 10.03.2018-TimeFormatted;DNB Cup 6/Junior Cup 4, 10.03.2018-DiffTimeFormatted;Junior Cup 4 - Sprint M19-Points;Junior Cup 4 - Sprint M19-Time;Junior Cup 4 - Sprint M19-TimeFormatted;Junior Cup 4 - Sprint M19-DiffTimeFormatted;Junior Cup finale 5 - Fellesstart 17-19år-Points;Junior Cup finale 5 - Fellesstart 17-19år-Time;Junior Cup finale 5 - Fellesstart 17-19år-TimeFormatted;Junior Cup finale 5 - Fellesstart 17-19år-DiffTimeFormatted;Junior Cup finale 5 - Fellesstart 19-21år-Points;Junior Cup finale 5 - Fellesstart 19-21år-Time;Junior Cup finale 5 - Fellesstart 19-21år-TimeFormatted;Junior Cup finale 5 - Fellesstart 19-21år-DiffTimeFormatted
11;Camilla Helene;Hals;0;f;Try, Idrettslaget;NO;Serie;K17;00:00:00.000;Mål;174.0;OK;11;0;7;2120327;;174.0;13361400;3:42:41.4;27:34.310;0;418641;NOR;26.0;2669700;44:29.7;5:19.9;21.0;1452300;24:12.3;3:28.2;;;;;;;;;;;;;;;;;36.0;1310000;21:50.0;0:41.3;22.0;2303180;38:23.1;3:15.6;32.0;2243700;37:23.7;2:24.0;20.0;1268340;21:08.3;2:11.2;;;;;17.0;2114180;35:14.1;4:52.5;;;;
12;Mari;Torsteinsrud;0;f;Ål Skiskyttarlag;NO;Serie;K17;00:00:00.000;Mål;169.0;OK;12;0;7;2590005;NTG-G;169.0;13545070;3:45:45.0;30:37.980;0;418641;NOR;18.0;2771270;46:11.2;7:01.4;36.0;1385700;23:05.7;2:21.6;0.0;2040800;34:00.8;7:25.5;;;;;6.0;1388700;23:08.7;3:39.4;;;;;24.0;1341300;22:21.3;1:12.6;19.0;2344200;39:04.2;3:56.7;9.0;2455800;40:55.8;5:56.1;45.0;1161170;19:21.1;0:24.0;;;;;18.0;2085630;34:45.6;4:24.0;;;;
13;Tuva Aas;Stræte;0;f;Hønefoss Skiskytterklubb;NO;Serie;K17;00:00:00.000;Mål;160.0;OK;13;0;7;694413;NTG-G;160.0;13581350;3:46:21.3;31:14.260;0;418641;NOR;22.0;2681600;44:41.6;5:31.8;;;;;29.0;1747800;29:07.8;2:32.5;;;;;20.0;1298200;21:38.2;2:08.9;;;;;13.0;1464200;24:24.2;3:15.5;21.0;2306230;38:26.2;3:18.7;24.0;2266400;37:46.4;2:46.7;18.0;1292120;21:32.1;2:35.0;;;;;26.0;1989000;33:09.0;2:47.4;;;;
14;Marit;Østhus;0;f;Nor, IL;NO;Serie;K17;00:00:00.000;Mål;149.0;OK;14;0;7;527083;NTG-L;149.0;13058420;3:37:38.4;22:31.330;0;418641;NOR;40.0;2555890;42:35.8;3:26.0;32.0;1415400;23:35.4;2:51.3;9.0;1949200;32:29.2;5:53.9;;;;;5.0;1410600;23:30.6;4:01.3;;;;;22.0;1345400;22:25.4;1:16.7;17.0;2384860;39:44.8;4:37.3;;;;;;;;;;;;;24.0;1997070;33:17.0;2:55.4;;;;
15;Vilde Kverndal;Veslegard;0;f;Ål Skiskyttarlag;NO;Serie;K17;00:00:00.000;Mål;120.0;OK;15;0;7;694394;NTG-G;120.0;13292300;3:41:32.3;26:25.210;0;418641;NOR;21.0;2704700;45:04.7;5:54.9;24.0;1448700;24:08.7;3:24.6;12.0;1909800;31:49.8;5:14.5;;;;;15.0;1352800;22:32.8;3:03.5;;;;;17.0;1411800;23:31.8;2:23.1;0.0;2680000;44:40.0;9:32.5;11.0;2416800;40:16.8;5:17.1;10.0;1366470;22:46.4;3:49.3;;;;;20.0;2047700;34:07.7;3:46.1;;;;
16;Andrea;Gjønnes;0;f;Oppdal IL;NO;Serie;K17;00:00:00.000;Mål;112.0;OK;16;0;7;414702;NTG-L;112.0;13419710;3:43:39.7;28:32.620;0;418641;NOR;15.0;2806290;46:46.2;7:36.4;6.0;1549100;25:49.1;5:05.0;24.0;1764600;29:24.6;2:49.3;;;;;8.0;1379000;22:59.0;3:29.7;;;;;15.0;1428100;23:48.1;2:39.4;24.0;2302950;38:22.9;3:15.4;8.0;2456500;40:56.5;5:56.8;14.0;1330900;22:10.9;3:13.8;;;;;12.0;2407870;40:07.8;9:46.2;;;;
17;Vilde;Børseth;0;f;Bjerke IL Ski;NO;Serie;K17;00:00:00.000;Mål;101.0;OK;17;0;7;1681154;NTG-L;101.0;12904510;3:35:04.5;19:57.420;0;418641;NOR;16.0;2779740;46:19.7;7:09.9;7.0;1539800;25:39.8;4:55.7;0.0;2013300;33:33.3;6:58.0;;;;;11.0;1368100;22:48.1;3:18.8;;;;;10.0;1474000;24:34.0;3:25.3;20.0;2336260;38:56.2;3:48.7;6.0;2480500;41:20.5;6:20.8;22.0;1234800;20:34.8;1:37.7;;;;;15.0;2171810;36:11.8;5:50.2;;;;
18;Ragnhild Sofie Breimyr;Hansen;0;f;Froland IL;NO;Serie;K17;00:00:00.000;Mål;96.0;OK;18;0;7;4442989;Sirdal Ski;96.0;13273610;3:41:13.6;26:06.520;0;418641;NOR;0.0;3043290;50:43.2;11:33.4;10.0;1534500;25:34.5;4:50.4;21.0;1837000;30:37.0;4:01.7;;;;;0.0;1448000;24:08.0;4:38.7;;;;;14.0;1436500;23:56.5;2:47.8;11.0;2534490;42:14.4;7:06.9;14.0;2405600;40:05.6;5:05.9;12.0;1352020;22:32.0;3:34.9;;;;;14.0;2173500;36:13.5;5:51.9;;;;
19;Kristine Gjersvold;Haug;0;f;Byåsen Skiskytterlag;NO;Serie;K17;00:00:00.000;Mål;95.0;OK;19;0;7;3687063;Trondheim Biathlon Team;95.0;14455950;4:00:55.9;45:48.860;0;418641;NOR;20.0;2717880;45:17.8;6:08.0;19.0;1456300;24:16.3;3:32.2;;;;;;;;;;;;;;;;;16.0;1427700;23:47.7;2:39.0;0.0;2857980;47:37.9;12:30.4;16.0;2362800;39:22.8;4:23.1;11.0;1359890;22:39.8;3:42.7;;;;;13.0;2273400;37:53.4;7:31.8;;;;
20;Mari;Gåsbakk;0;f;Fossum IF;NO;Serie;K17;00:00:00.000;Mål;84.0;OK;20;0;7;2832002;;84.0;13984530;3:53:04.5;37:57.440;0;418641;NOR;3.0;2977160;49:37.1;10:27.3;5.0;1579800;26:19.8;5:35.7;17.0;1878800;31:18.8;4:43.5;;;;;19.0;1309000;21:49.0;2:19.7;;;;;5.0;1490800;24:50.8;3:42.1;15.0;2428270;40:28.2;5:20.7;20.0;2320700;38:40.7;3:41.0;0.0;1402610;23:22.6;4:25.5;;;;;;;;;;;;
21;Maria Haugse;Rød;0;f;Hålandsdal IL;NO;Serie;K17;00:00:00.000;Mål;79.0;OK;21;0;6;694418;;79.0;11332380;3:08:52.3;Mangler 1;0;418641;NOR;14.0;2815620;46:55.6;7:45.8;13.0;1513400;25:13.4;4:29.3;18.0;1878600;31:18.6;4:43.3;;;;;14.0;1353000;22:33.0;3:03.7;;;;;;;;;;;;;15.0;2388700;39:48.7;4:49.0;5.0;1383060;23:03.0;4:05.9;;;;;;;;;;;;
22;Emma Aasen;Strømsnes;0;f;Lier IL;NO;Serie;K17;00:00:00.000;Mål;71.0;OK;22;0;6;4319628;Meråker vgs;71.0;12557180;3:29:17.1;Mangler 1;0;418641;NOR;9.0;2885010;48:05.0;8:55.2;3.0;1584100;26:24.1;5:40.0;14.0;1904200;31:44.2;5:08.9;;;;;12.0;1368000;22:48.0;3:18.7;;;;;19.0;1405800;23:25.8;2:17.1;14.0;2465770;41:05.7;5:58.2;0.0;944300;15:44.3;34:59.7;;;;;;;;;;;;;;;;
23;Celina Marie;Striger;0;f;Byåsen Skiskytterlag;NO;Serie;K17;00:00:00.000;Mål;68.0;OK;23;0;6;4084805;Trondheim Biathlon Team;68.0;12139730;3:22:19.7;Mangler 1;0;418641;NOR;17.0;2775930;46:15.9;7:06.1;12.0;1524200;25:24.2;4:40.1;;;;;;;;;;;;;;;;;20.0;1402100;23:22.1;2:13.4;7.0;2584630;43:04.6;7:57.1;12.0;2410100;40:10.1;5:10.4;0.0;1442770;24:02.7;5:05.6;;;;;;;;;;;;
24;Malin Haga;Idsøe;0;f;Figgjo IL;NO;Serie;K17;00:00:00.000;Mål;64.0;OK;24;0;7;681131;Team iSandnes;64.0;14458450;4:00:58.4;45:51.360;0;418641;NOR;0.0;3124220;52:04.2;12:54.4;20.0;1455300;24:15.3;3:31.2;19.0;1849100;30:49.1;4:13.8;;;;;10.0;1371100;22:51.1;3:21.8;;;;;6.0;1487800;24:47.8;3:39.1;9.0;2546630;42:26.6;7:19.1;0.0;2624300;43:44.3;8:44.6;0.0;1460840;24:20.8;5:23.7;;;;;;;;;;;;
25;Vilde;Aamlid;0;f;Fyresdal Skiskyttarlag;NO;Serie;K17;00:00:00.000;Mål;59.0;OK;25;0;7;4771012;Team TeVe;59.0;12769380;3:32:49.3;17:42.290;0;418641;NOR;1.0;2995970;49:55.9;10:46.1;14.0;1511300;25:11.3;4:27.2;10.0;1942900;32:22.9;5:47.6;;;;;16.0;1351100;22:31.1;3:01.8;;;;;4.0;1499900;24:59.9;3:51.2;8.0;2583890;43:03.8;7:56.3;5.0;2489900;41:29.9;6:30.2;2.0;1390390;23:10.3;4:13.2;;;;;;;;;;;;
26;Tuva;Skinnarland;0;f;Bødalen IF;NO;Serie;K17;00:00:00.000;Mål;56.0;OK;26;0;5;694419;Sirdal Ski;56.0;9591320;2:39:51.3;Mangler 2;0;418641;NOR;13.0;2823860;47:03.8;7:54.0;16.0;1473700;24:33.7;3:49.6;;;;;;;;;;;;;;;;;2.0;1506500;25:06.5;3:57.8;16.0;2414370;40:14.3;5:06.8;0.0;0;0:00.0;34:59.7;9.0;1372890;22:52.8;3:55.7;;;;;;;;;;;;
27;Marie;Grue;0;f;Kvikne IL;NO;Serie;K17;00:00:00.000;Mål;50.0;OK;27;0;4;415049;;50.0;7676620;2:07:56.6;Mangler 3;0;418641;NOR;;;;;;;;;;;;;;;;;;;;;;;;;9.0;1474700;24:34.7;3:26.0;12.0;2503170;41:43.1;6:35.6;10.0;2422700;40:22.7;5:23.0;19.0;1276050;21:16.0;2:18.9;;;;;;;;;;;;
28;Live Szalay;Pettersen;0;f;Figgjo IL;NO;Serie;K17;00:00:00.000;Mål;46.0;OK;28;0;7;388056;Team iSandnes;46.0;14871740;4:07:51.7;52:44.650;0;418641;NOR;0.0;3185950;53:05.9;13:56.1;17.0;1462600;24:22.6;3:38.5;11.0;1922600;32:02.6;5:27.3;;;;;18.0;1331100;22:11.1;2:41.8;;;;;0.0;1532400;25:32.4;4:23.7;0.0;2690390;44:50.3;9:42.8;0.0;2746700;45:46.7;10:47.0;0.0;1490890;24:50.8;5:53.7;;;;;;;;;;;;
29;Kirsti;Høiholt-Vågsnes;0;f;Vingrom IL;NO;Serie;K17;00:00:00.000;Mål;43.0;OK;29;0;6;695851;;43.0;11552850;3:12:32.8;Mangler 1;0;418641;NOR;10.0;2864830;47:44.8;8:35.0;1.0;1590600;26:30.6;5:46.5;2.0;1979600;32:59.6;6:24.3;;;;;9.0;1371700;22:51.7;3:22.4;;;;;;;;;;;;;17.0;2360400;39:20.4;4:20.7;4.0;1385720;23:05.7;4:08.6;;;;;;;;;;;;
30;Liv Marte;Aas;0;f;Birkenes IL;NO;Serie;K17;00:00:00.000;Mål;43.0;OK;30;0;7;694395;Sirdal Ski;43.0;13326320;3:42:06.3;26:59.230;0;418641;NOR;6.0;2943760;49:03.7;9:53.9;0.0;1607600;26:47.6;6:03.5;8.0;1951900;32:31.9;5:56.6;;;;;13.0;1360900;22:40.9;3:11.6;;;;;3.0;1500200;25:00.2;3:51.5;5.0;2588610;43:08.6;8:01.1;0.0;2893900;48:13.9;13:14.2;8.0;1373350;22:53.3;3:56.2;;;;;;;;;;;;
31;Maria;Brenna;0;f;Skrautvål IL;NO;Serie;K17;00:00:00.000;Mål;38.0;OK;31;0;6;438513;Team Valdres Ski;38.0;12467890;3:27:47.8;Mangler 1;0;418641;NOR;7.0;2896070;48:16.0;9:06.2;18.0;1457900;24:17.9;3:33.8;0.0;0;0:00.0;26:35.3;;;;;0.0;1479600;24:39.6;5:10.3;;;;;0.0;1522200;25:22.2;4:13.5;13.0;2495020;41:35.0;6:27.5;0.0;2617100;43:37.1;8:37.4;0.0;1515140;25:15.1;6:18.0;;;;;;;;;;;;
32;Ingrid Emblem;Holte;0;f;Gjerstad IL;NO;Serie;K17;00:00:00.000;Mål;31.0;OK;32;0;7;941416;Team TeVe;31.0;13182570;3:39:42.5;24:35.480;0;418641;NOR;;;;;0.0;1791100;29:51.1;9:07.0;5.0;1964200;32:44.2;6:08.9;;;;;4.0;1411800;23:31.8;4:02.5;;;;;0.0;1576700;26:16.7;5:08.0;0.0;2652660;44:12.6;9:05.1;7.0;2463300;41:03.3;6:03.6;15.0;1322810;22:02.8;3:05.7;;;;;;;;;;;;
33;Ragna;Kolve;0;f;Voss Skiskytterlag;NO;Serie;K17;00:00:00.000;Mål;26.0;OK;33;0;4;582818;;26.0;7352470;2:02:32.4;Mangler 3;0;418641;NOR;;;;;;;;;13.0;1904800;31:44.8;5:09.5;;;;;0.0;1519100;25:19.1;5:49.8;;;;;;;;;;;;;13.0;2406900;40:06.9;5:07.2;0.0;1521670;25:21.6;6:24.5;;;;;;;;;;;;
34;Rebecka;Oppigard;0;f;Eikesdal Skiskyttarlag - Skiskyting;NO;Serie;K17;00:00:00.000;Mål;24.0;OK;34;0;7;4792422;Meråker vgs;24.0;13761350;3:49:21.3;34:14.260;0;418641;NOR;0.0;3137860;52:17.8;13:08.0;11.0;1527700;25:27.7;4:43.6;0.0;2209300;36:49.3;10:14.0;;;;;2.0;1413500;23:33.5;4:04.2;;;;;0.0;1541500;25:41.5;4:32.8;10.0;2536750;42:16.7;7:09.2;0.0;2786900;46:26.9;11:27.2;1.0;1394740;23:14.7;4:17.6;;;;;;;;;;;;
35;Silje Berner;Myhre;0;f;Fossum IF;NO;Serie;K17;00:00:00.000;Mål;23.0;OK;35;0;3;3790526;;23.0;6290380;1:44:50.3;Mangler 4;0;418641;NOR;2.0;2993280;49:53.2;10:43.4;;;;;0.0;2001700;33:21.7;6:46.4;;;;;21.0;1295400;21:35.4;2:06.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Julie Elisabeth;Åbyholm;0;f;Fossum IF;NO;Serie;K17;00:00:00.000;Mål;21.0;OK;36;0;4;691936;;21.0;7950610;2:12:30.6;Mangler 3;0;418641;NOR;0.0;3046210;50:46.2;11:36.4;4.0;1583400;26:23.4;5:39.3;16.0;1890400;31:30.4;4:55.1;;;;;1.0;1430600;23:50.6;4:21.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Mari Fosse;Vaksdal;0;f;Voss Skiskytterlag;NO;Serie;K17;00:00:00.000;Mål;19.0;OK;37;0;4;797938;;19.0;7366120;2:02:46.1;Mangler 3;0;418641;NOR;;;;;;;;;0.0;2060000;34:20.0;7:44.7;;;;;3.0;1413100;23:33.1;4:03.8;;;;;;;;;;;;;3.0;2548200;42:28.2;7:28.5;13.0;1344820;22:24.8;3:27.7;;;;;;;;;;;;
38;Ingeborg Smestu;Holm;0;f;Rennebu IL;NO;Serie;K17;00:00:00.000;Mål;17.0;OK;38;0;7;4213061;;17.0;14890010;4:08:10.0;53:02.920;0;418641;NOR;0.0;3054160;50:54.1;11:44.3;8.0;1537300;25:37.3;4:53.2;0.0;2026000;33:46.0;7:10.7;;;;;7.0;1387000;23:07.0;3:37.7;;;;;0.0;1594300;26:34.3;5:25.6;2.0;2606050;43:26.0;8:18.5;0.0;2685200;44:45.2;9:45.5;0.0;1519020;25:19.0;6:21.9;;;;;;;;;;;;
39;Karoline;Holm;0;f;Simostranda IL;NO;Serie;K17;00:00:00.000;Mål;14.0;OK;39;0;3;2848131;Team Skiguard Buskerud;14.0;6467990;1:47:47.9;Mangler 4;0;418641;NOR;8.0;2891190;48:11.1;9:01.3;0.0;1616800;26:56.8;6:12.7;6.0;1960000;32:40.0;6:04.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
